DOWnum,WaterBody,County,Species,YearInfested,YearConfirmed
,Sauk River from Osakis to Guernsey,Todd,zebra mussel,2016,
25-0001,Pepin,Multiple,silver carp,2012,
25-0017,"Mississippi River, Pool 3",Multiple,bighead carp,2012,
25-0017,"Mississippi River, Pool 3",Multiple,silver carp,2012,
79-0001,"Mississippi River, Pool 5",Multiple,bighead carp,2012,
79-0001,"Mississippi River, Pool 5",Multiple,silver carp,2012,
79-0005,"Mississippi River, Pool 4",Multiple,silver carp,2012,
85-0001,"Mississippi River, Pool 7",Multiple,bighead carp,2012,
85-0002,"Mississippi River, Pool 6",Multiple,faucet snail,2016,
56-0298,Deer,Otter Tail,zebra mussel,2017,
56-0481,West Lost,Otter Tail,zebra mussel,2017,
56-0573,East Red River Lake,Otter Tail,zebra mussel,2017,
56-0711,Red River Lake,Otter Tail,zebra mussel,2017,
56-0782,Hoot,Otter Tail,zebra mussel,2017,
,Otter Tail River downstream of Otter Tail Lake to the confluence of the Pelican River,Otter Tail,zebra mussel,2017,
69-0512,Mud,St. Louis,zebra mussel,2009,
,Big Fork River from 500 feet upstream of the public water access on Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007,
,"Black River, the south branch downstream of Highway 11 and the west branch downstream of Highway 147",Koochiching,spiny waterflea,2007,
,"Little Fork River, from 100 feet upstream of Highway 11 downstream to the Rainy River",Koochiching,spiny waterflea,2007,
,Baudette River from 500 feet upstream of Highway 11 downstream to the Rainy River ,Lake of the Woods,spiny waterflea,2007,
,Hooper Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,
,Johnson Creek from the Rainy River upstream to 500 feet beyond the first road crossing,Lake of the Woods,spiny waterflea,2007,
,Rapid River from 500 feet upstream of Highway 11 to Clementson Bay of the Rainy River,Lake of the Woods,spiny waterflea,2007,
,Winter Road River from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,
,Shotley Brook,Beltrami,zebra mussel,2019,
,Tamarac River,Beltrami,zebra mussel,2019,
,"Cullen Brook and Roy Lake outlet stream between Roy (18-0398), Nisswa (18-0399) and Lower Cullen (18-0403)",Crow Wing,zebra mussel,2018,
31-0834,Bird's Eye,Itasca,zebra mussel,2013,
31-0876,Rice,Itasca,zebra mussel,2013,
,Sauk Lake (77-0150) tributaries from their mouths upstream 500 feet or to the posted boundaries,Todd,zebra mussel,2019,
,Shagawa River between Shagawa Lake and Fall Lake,Multiple,spiny waterflea,2014,
16-0001,Superior,Multiple,faucet snail,2014,
47-0046,Washington,Meeker,zebra mussel,2015,
56-0588,Unnamed,Otter Tail,zebra mussel,2019,
56-0589,Mineral,Otter Tail,zebra mussel,2019,
56-0605,Unnamed,Otter Tail,zebra mussel,2019,
56-1118,Unnamed,Otter Tail,zebra mussel,2019,
11-0214,Dade,Cass,zebra mussel,2020,
11-0318,Little Red Sand,Cass,zebra mussel,2020,
,Ripple River from Bay Lake to Farm Island Lake,Crow Wing,zebra mussel,2020,
56-0604,North Ten Mile,Otter Tail,zebra mussel,2017,
03-0595,Nelson,Becker,zebra mussel,2019,
03-0602,Middle Cormorant,Becker,zebra mussel,2019,
03-0752,unnamed wetland downstream of Upper Cormorant,Becker,zebra mussel,2019,
86-0134-02,Mud,Wright,zebra mussel,2019,
86-0134-03,Maple Northeast,Wright,zebra mussel,2019,
,Pike River from Pike River Dam at CSAH 77 near Peyla to Vermilion,St. Louis,spiny waterflea,2015,
,Vermilion River from Vermilion to Crane,St. Louis,spiny waterflea,2015,
,Carver Creek from Waconia to the Minnesota River,Carver,zebra mussel,2018,
,Streams from West Battle to Otter Tail,Otter Tail,zebra mussel,2018,
56-0311,Davies,Otter Tail,zebra mussel,2019,
56-0327,Indian,Otter Tail,zebra mussel,2019,
56-0381-01,Amor,Otter Tail,zebra mussel,2019,
56-0383,Dead,Otter Tail,zebra mussel,2019,
56-0385,Star,Otter Tail,zebra mussel,2019,
56-0522,Round,Otter Tail,zebra mussel,2019,
56-1628,Brown,Otter Tail,zebra mussel,2019,
,Stream segments between West McDonald (56-0386-02) and Walker (56-0310),Otter Tail,zebra mussel,2019,
86-0289,East Sylvia,Wright,Eurasian watermilfoil,2008,
21-0212,Little Chippewa,Douglas,zebra mussel,2017,
21-0213,Devils,Douglas,zebra mussel,2017,
21-0214,Redick Swamp,Douglas,zebra mussel,2017,
21-0264,Stowe,Douglas,zebra mussel,2017,
18-0261,Big Pine,Crow Wing,zebra mussel,2014,
18-0268,Loon (Island-Loon),Crow Wing,zebra mussel,2014,
18-0356,Clamshell,Crow Wing,zebra mussel,2014,
18-0366,Arrowhead,Crow Wing,zebra mussel,2014,
31-0817,Egg,Itasca,faucet snail,2009,
31-0817,Egg,Itasca,zebra mussel,2013,
31-0818,First River Lake,Itasca,faucet snail,2009,
31-0818,First River Lake,Itasca,zebra mussel,2013,
31-0824,Portage,Itasca,zebra mussel,2013,
31-0850,Little Winnibigoshish,Itasca,faucet snail,2010,
31-0852,Little Cut Foot,Itasca,faucet snail,2009,
31-0852,Little Cut Foot,Itasca,zebra mussel,2013,
31-0857,Cut Foot Sioux,Itasca,zebra mussel,2013,
31-0923,Rabbits,Itasca,faucet snail,2009,
31-0923,Rabbits,Itasca,zebra mussel,2013,
31-0925,Raven,Itasca,faucet snail,2009,
31-0925,Raven,Itasca,zebra mussel,2013,
31-0926,Sugar,Itasca,faucet snail,2009,
31-0926,Sugar,Itasca,zebra mussel,2013,
,Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,faucet snail,2009,
,"Ravens Flowage (includes unnamed creek from S3, T146N, R29W to S11, T146N, R29W and Raven Creek downstream of Raven and Rabbit lakes to Lake Winnibigoshish)",Itasca,faucet snail,2009,
,Third River downstream of Highway 33,Itasca,faucet snail,2009,
,Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,zebra mussel,2013,
,"Ravens Flowage (includes unnamed creek from S3, T146N, R29W, to S11, T146N, R29W, and Raven Creek downstream of Raven and
Rabbit lakes to Lake Winnibigoshish)",Itasca,zebra mussel,2013,
,Third River downstream of Highway 33,Itasca,zebra mussel,2013,
,Mississippi River from the Knutson Dam (at the outlet of Cass Lake) downstream to Little Winnibigoshish Lake (31-0850) ,Multiple,zebra mussel,2013,
,Third River Flowage (part of Lake Winnibigoshish),Itasca,faucet snail,2009,
,Third River Flowage (part of Lake Winnibigoshish),Itasca,zebra mussel,2013,
32-0020,Loon,Jackson,bighead carp,2012,
32-0020,Loon,Jackson,silver carp,2012,
32-0022,Clear,Jackson,bighead carp,2012,
32-0022,Clear,Jackson,silver carp,2012,
32-0023,Spirit,Jackson,bighead carp,2012,
32-0023,Spirit,Jackson,silver carp,2012,
32-0024,Little Spirit,Jackson,bighead carp,2012,
32-0024,Little Spirit,Jackson,silver carp,2012,
32-0025,Grovers,Jackson,bighead carp,2012,
32-0025,Grovers,Jackson,silver carp,2012,
32-0027,Pletz Marsh,Jackson,bighead carp,2012,
32-0027,Pletz Marsh,Jackson,silver carp,2012,
32-0031,Rush,Jackson,bighead carp,2012,
32-0031,Rush,Jackson,silver carp,2012,
32-0032,Anderson’s Marsh,Jackson,bighead carp,2012,
32-0032,Anderson’s Marsh,Jackson,silver carp,2012,
32-0033,Pearl,Jackson,bighead carp,2012,
32-0033,Pearl,Jackson,silver carp,2012,
32-0042,Husen Marsh,Jackson,bighead carp,2012,
32-0042,Husen Marsh,Jackson,silver carp,2012,
32-0055,Unnamed lake on Little Sioux River,Jackson,bighead carp,2012,
32-0055,Unnamed lake on Little Sioux River,Jackson,silver carp,2012,
32-0059,Skunk,Jackson,bighead carp,2012,
32-0059,Skunk,Jackson,silver carp,2012,
32-0061,Unnamed lake,Jackson,bighead carp,2012,
32-0061,Unnamed lake,Jackson,silver carp,2012,
32-0062,Unnamed lake,Jackson,bighead carp,2012,
32-0062,Unnamed lake,Jackson,silver carp,2012,
32-0063,Rush,Jackson,bighead carp,2012,
32-0063,Rush,Jackson,silver carp,2012,
32-0069,Round,Jackson,bighead carp,2012,
32-0069,Round,Jackson,silver carp,2012,
32-0071,Plum,Jackson,bighead carp,2012,
32-0071,Plum,Jackson,silver carp,2012,
32-0072,Illinois,Jackson,bighead carp,2012,
32-0072,Illinois,Jackson,silver carp,2012,
32-0093,Unnamed lake,Jackson,bighead carp,2012,
32-0093,Unnamed lake,Jackson,silver carp,2012,
32-0096,Unnamed lake on Little Sioux River,Jackson,bighead carp,2012,
32-0096,Unnamed lake on Little Sioux River,Jackson,silver carp,2012,
48-0009,Onamia,Mille Lacs,zebra mussel,2007,
48-0012,Shakopee,Mille Lacs,zebra mussel,2007,
53-0007,Indian,Nobles,bighead carp,2012,
53-0007,Indian,Nobles,silver carp,2012,
62-0062,Charley,Ramsey,zebra mussel,2007,
73-0071,Lower Watab,Stearns,zebra mussel,2014,
73-0072,Rossier,Stearns,zebra mussel,2014,
,"Judicial Ditch No. 35 from S14, T102N, R36W to Rush",Jackson,bighead carp,2012,
,Judicial Ditch No. 8 between Clear and Loon,Jackson,bighead carp,2012,
,Judicial ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012,
,Little Sioux River and its tributaries,Jackson,bighead carp,2012,
,Loon Creek between Loon and Spirit,Jackson,bighead carp,2012,
,Unnamed creek between Anderson’s Marsh and Pearl,Jackson,bighead carp,2012,
,Unnamed creek between Pearl and Loon ,Jackson,bighead carp,2012,
,Unnamed creek between Rush and Anderson’s Marsh,Jackson,bighead carp,2012,
,West Fork Little Sioux River and its tributaries,Jackson,bighead carp,2012,
,"Judicial Ditch No. 35 from S14, T102N, R36W to Rush",Jackson,silver carp,2012,
,Judicial Ditch No. 8 between Clear and Loon,Jackson,silver carp,2012,
,Judicial ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012,
,Little Sioux River and its tributaries,Jackson,silver carp,2012,
,Loon Creek between Loon and Spirit,Jackson,silver carp,2012,
,Unnamed creek between Anderson’s Marsh and Pearl,Jackson,silver carp,2012,
,Unnamed creek between Pearl and Loon ,Jackson,silver carp,2012,
,Unnamed creek between Rush and Anderson’s Marsh,Jackson,silver carp,2012,
,West Fork Little Sioux River and its tributaries,Jackson,silver carp,2012,
,Miller Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,
,Sensky Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,
,Silver Creek from 500 feet upstream of Highway 11 to the Rainy River,Lake of the Woods,spiny waterflea,2007,
,Wabonica Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,
,St. Louis River downstream of the Cloquet River,Multiple,spiny waterflea,1995,
,St. Croix River downstream of the dam at Taylors Falls ,Multiple,silver carp,2012,
,Swift Ditch from 500 feet upstream of Highway 12 downstream to Lake of the Woods,Roseau,spiny waterflea,2011,
,Warroad River from 500 feet upstream of Highway 11 downstream to Lake of the Woods,Roseau,spiny waterflea,2007,
,White Pine River,St. Louis,zebra mussel,2009,
,Watab River from Watab Lake to the Mississippi River,Stearns,zebra mussel,2014,
,"Unnamed wetland (located  in the NE 1/4 of the NE 1/4 of S33, T135N, R27W)",Crow Wing,zebra mussel,2006,
,"Unnamed wetland (located  in the NE 1/4 of the SW 1/4 of S3, T135N, R27W)",Crow Wing,zebra mussel,2006,
,"Unnamed wetland (located in the NE 1/4 of the SE 1/4 of S2, T46N, R30W)",Crow Wing,zebra mussel,2006,
,"Unnamed wetland (located in the NW 1/4 of the NE 1/4 of S33, T46N, R30W)",Crow Wing,zebra mussel,2006,
,"Unnamed wetland located  in the NE 1/4 of the SW 1/4  of S2, T46N, R30W)",Crow Wing,zebra mussel,2006,
,County ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012,
,County ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012,
,Pine River from the base of Cross Lake Dam to the confluence with Pelican Brook,Crow Wing,zebra mussel,2014,
40-0092,Jefferson,Le Sueur,Eurasian watermilfoil,2015,
40-0092,Swede's Bay (DOW 40-0092-03),Le Sueur,Eurasian watermilfoil,2015,
40-0092,West Jefferson (DOW 40-0092-02),Le Sueur,Eurasian watermilfoil,2015,
16-0027,McFarland,Cook,spiny waterflea,2005,
16-0141,"Caribou (in the Boundary Waters Canoe Area, just west of Pine)",Cook,spiny waterflea,2007,
19-0064,Unnamed lake,Dakota,flowering rush,2007,
25-0001,Pepin,Multiple,Eurasian watermilfoil,2012,
28-0001,"Mississippi River, Pool 9",Multiple,faucet snail,2013,
28-0005,"Mississippi River, Pool 8",Multiple,faucet snail,2013,
39-0002,"Lake of the Woods, including the portions of Zipple Bay to Zipple Creek in S9 and S10, T162N, R33W, and to Bostic Creek at County Highway 8",Lake of the Woods,spiny waterflea,2007,
69-0069,Shagawa,St. Louis,spiny waterflea,2014,
85-0001,"Mississippi River, Pool 7",Multiple,faucet snail,2013,
,Pelican River from Detroit to Muskrat,Becker,flowering rush,2007,
,"Unnamed wetland (located in the NE 1/4 of the NE 1/4 of S33, T31N, R22W)",Anoka,flowering rush,2007,
01-0176,Little Pine,Aitkin,zebra mussel,2020,
03-0360,Muskrat,Becker,flowering rush,2007,
03-0360,Muskrat,Becker,zebra mussel,2017,
03-0377,Mill (Mill Pond),Becker,zebra mussel,2014,
03-0382,St. Clair,Becker,zebra mussel,2020,
03-0386,Little Floyd,Becker,zebra mussel,2018,
03-0473,Buck,Becker,zebra mussel,2012,
